name,author,genres,description,price,qty,image,cloud_url
The Jasmine Throne,Tasha Suri,Fantasy,"Author of Empire of Sand and Realm of Ash Tasha Suri's The Jasmine Throne, beginning a new trilogy set in a world inspired by the history and epics of India, in which a captive princess and a maidservant in possession of forbidden magic become unlikely allies on a dark journey to save their empire from the princess's traitor brother.

Imprisoned by her dictator brother, Malini spends her days in isolation in the Hirana: an ancient temple that was once the source of the powerful, magical deathless waters ? but is now little more than a decaying ruin.

Priya is a maidservant, one among several who make the treacherous journey to the top of the Hirana every night to clean Malini?s chambers. She is happy to be an anonymous drudge, so long as it keeps anyone from guessing the dangerous secret she hides.

But when Malini accidentally bears witness to Priya?s true nature, their destinies become irrevocably tangled. One is a vengeful princess seeking to depose her brother from his throne. The other is a priestess seeking to find her family. Together, they will change the fate of an empire.",350,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603885729i/50523477.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669881/ebooks/njgxeacpafapdhpbgjug.jpg
The House on the Cerulean Sea,TJ Klune,Fantasy,"A magical island. A dangerous task. A burning secret.

Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge Of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages.

When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they?re likely to bring about the end of days.

But the children aren?t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn.

An enchanting story, masterfully told, The House in the Cerulean Sea is about the profound experience of discovering an unlikely family in an unexpected place?and realizing that family is yours.",250,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569514209i/45047384.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669884/ebooks/pjpwls7zxa8dccoynt1e.jpg
The Witch's Heart,Genevieve Gornichec,Fantasy,"When a banished witch falls in love with the legendary trickster Loki, she risks the wrath of the gods in this moving, subversive debut novel that reimagines Norse mythology.

Angrboda's story begins where most witches' tales end: with a burning. A punishment from Odin for refusing to provide him with knowledge of the future, the fire leaves Angrboda injured and powerless, and she flees into the farthest reaches of a remote forest. There she is found by a man who reveals himself to be Loki, and her initial distrust of him transforms into a deep and abiding love.

Their union produces three unusual children, each with a secret destiny, who Angrboda is keen to raise at the edge of the world, safely hidden from Odin's all-seeing eye. But as Angrboda slowly recovers her prophetic powers, she learns that her blissful life?and possibly all of existence?is in danger.

With help from the fierce huntress Skadi, with whom she shares a growing bond, Angrboda must choose whether she?ll accept the fate that she's foreseen for her beloved family?or rise to remake their future. From the most ancient of tales this novel forges a story of love, loss, and hope for the modern age.",200,45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1593104643i/53438195.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669886/ebooks/u1p6rbmmk3totbolwpxf.jpg
The Kingdom of Liars,Nick Martell,Fantasy,"In this brilliant debut fantasy, a story of secrets, rebellion, and murder are shattering the Hollows, where magic costs memory to use, and only the son of the kingdom?s despised traitor holds the truth.

Michael is branded a traitor as a child because of the murder of the king?s nine-year-old son, by his father David Kingman. Ten years later on Michael lives a hardscrabble life, with his sister Gwen, performing crimes with his friends against minor royals in a weak attempt at striking back at the world that rejects him and his family.

In a world where memory is the coin that pays for magic, Michael knows something is there in the hot white emptiness of his mind. So when the opportunity arrives to get folded back into court, via the most politically dangerous member of the kingdom?s royal council, Michael takes it, desperate to find a way back to his past. He discovers a royal family that is spiraling into a self-serving dictatorship as gun-wielding rebels clash against magically trained militia.

What the truth holds is a set of shocking revelations that will completely change the Hollows, if Michael and his friends and family can survive long enough to see it.",250,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582613326i/49931405.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669887/ebooks/oevs7akalrxon9xykrgo.jpg
The 6:20 Man,David Baldacci,Mystery,"Every day without fail, Travis Devine puts on a cheap suit, grabs his faux-leather briefcase, and boards the 6:20 commuter train to Manhattan, where he works as an entry-level analyst at the city?s most prestigious investment firm. In the mornings, he gazes out the train window at the lavish homes of the uberwealthy, dreaming about joining their ranks. In the evenings, he listens to the fiscal news on his phone, already preparing for the next grueling day in the cutthroat realm of finance.

Then one morning Devine?s tedious routine is shattered by an anonymous email: She is dead.

Sara Ewes, Devine?s coworker and former girlfriend, has been found hanging in a storage room of his office building?presumably a suicide, prompting the NYPD to come calling on him. If that wasn?t enough, Devine receives another ominous visit, a confrontation that threatens to dredge up grim secrets from his past in the Army unless he participates in a clandestine investigation into his firm.

This treacherous role will take Travis from the impossibly glittering lives he once saw only through a train window, to the darkest corners of the country?s economic halls of power?where something rotten lurks. And apart from this high-stakes conspiracy, there?s a killer out there with their own agenda, and Devine is the bullseye.",200,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646415673i/59586621.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669888/ebooks/wyezkxn1hod5hzpt6p9i.jpg
The Maid,Nita Prose,Mystery,"Molly Gray is not like everyone else. She struggles with social skills and misreads the intentions of others. Her gran used to interpret the world for her, codifying it into simple rules that Molly could live by.

Since Gran died a few months ago, twenty-five-year-old Molly has been navigating life's complexities all by herself. No matter?she throws herself with gusto into her work as a hotel maid. Her unique character, along with her obsessive love of cleaning and proper etiquette, make her an ideal fit for the job. She delights in donning her crisp uniform each morning, stocking her cart with miniature soaps and bottles, and returning guest rooms at the Regency Grand Hotel to a state of perfection.

But Molly's orderly life is upended the day she enters the suite of the infamous and wealthy Charles Black, only to find it in a state of disarray and Mr. Black himself dead in his bed. Before she knows what's happening, Molly's unusual demeanor has the police targeting her as their lead suspect. She quickly finds herself caught in a web of deception, one she has no idea how to untangle. Fortunately for Molly, friends she never knew she had unite with her in a search for clues to what really happened to Mr. Black?but will they be able to find the real killer before it's too late?

A Clue-like, locked-room mystery and a heartwarming journey of the spirit, The Maid explores what it means to be the same as everyone else and yet entirely different?and reveals that all mysteries can be solved through connection to the human heart.",250,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643228739i/55196813.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669888/ebooks/robhcsk6pvmzc6ukqofq.jpg
The Last Party,Clare Mackintosh,Mystery,"At midnight, one of them is dead.
By morning, all of them are suspects.

It's a party to end all parties, but not everyone is here to celebrate.

On New Year?s Eve, Rhys Lloyd has a house full of guests. His vacation homes on Mirror Lake are a success, and he?s generously invited the village to drink champagne with their wealthy new neighbors.

But by midnight, Rhys will be floating dead in the freezing waters of the lake.

On New Year?s Day, Ffion Morgan has a village full of suspects. The tiny community is her home, so the suspects are her neighbors, friends and family?and Ffion has her own secrets to protect.

With a lie uncovered at every turn, soon the question isn?t who wanted Rhys dead?but who finally killed him.

In a village with this many secrets, murder is just the beginning.",250,45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644431496i/60305071.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669890/ebooks/iwao1rffwwrnhotaouqf.jpg
The 22 Murders of Madison May,Max Barry,Mystery,"From the critically acclaimed author of Jennifer Government and Lexicon comes mind-bending speculative psychological suspense about a serial killer pursuing his victim across time and space, and the woman who is determined to stop him, even if it upends her own reality.

I love you. In every world.

Young real estate agent Madison May is shocked when a client at an open house says these words to her. The man, a stranger, seems to know far too much about her, and professes his love--shortly before he murders her.

Felicity Staples hates reporting on murders. As a journalist for a midsize New York City paper, she knows she must take on the assignment to research Madison May's shocking murder, but the crime seems random and the suspect is in the wind. That is, until Felicity spots the killer on the subway, right before he vanishes.

Soon, Felicity senses her entire universe has shifted. No one remembers Madison May, or Felicity's encounter with the mysterious man. And her cat is missing. Felicity realizes that in her pursuit of Madison's killer, she followed him into a different dimension--one where everything about her existence is slightly altered. At first, she is determined to return to the reality she knows, but when Madison May--in this world, a struggling actress--is murdered again, Felicity decides she must find the killer--and learns that she is not the only one hunting him.

Traveling through different realities, Felicity uncovers the opportunity--and danger--of living more than one life.",200,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604995317i/55859459.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669891/ebooks/sau4scpem9vrqxiucycb.jpg
A Mother Would Know,Amber Garza,Mystery,"?Do we ever really know our children? Amber Garza invites readers to untangle the web of a family just like yours?or are they? This thriller will have you triple-guessing yourself.? ?Eliza Jane Brazier, author of If I Disappear

A mother questions everything she knows about her son when a local woman is found dead.

Valerie has been forgetting things. Her daughter worries about her being on her own in her big Victorian house?one rumored to be haunted after a tragedy decades earlier?and truth be told, she is a little lonely. With few options, she asks her adult son to move home, but it?s not quite the reunion she hoped for. Hudson is taciturn, moody and frequently gone.

The neighbors already hold a grudge against Hudson, and they aren?t happy about his return. When a young woman is found murdered a block away, suspicion falls on him immediately, without a shred of evidence. While Valerie fights to defend her son, she begins to wonder who she really invited into her home.

It?s a horrible thing for a mother to even think?but is it possible she?s enabled a monster? A monster she is living with, alone?",350,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664754177i/59040906.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669892/ebooks/npf3ueyhevqxcjk0byb8.jpg
The House at the End of the World,Dean R. Koontz,Mystery,"Soon no one on Earth will have a place to hide in this novel about fears known and unknown by #1 New York Times bestselling master of suspense Dean Koontz.

In retreat from a devastating loss and crushing injustice, Katie lives alone in a fortresslike stone house on Jacob?s Ladder island. Once a rising star in the art world, she finds refuge in her painting.

The neighboring island of Ringrock houses a secret: a government research facility. And now two agents have arrived on Jacob?s Ladder in search of someone?or something?they refuse to identify. Although an air of menace hangs over these men, an infinitely greater threat has arrived, one so strange even the island animals are in a state of high alarm.

Katie soon finds herself in an epic and terrifying battle with a mysterious enemy. But Katie?s not alone after all: a brave young girl appears out of the violent squall. As Katie and her companion struggle across a dark and eerie landscape, against them is an omnipresent terror that could bring about the end of the world.",400,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662822202i/60659833.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669893/ebooks/fgy9g820hjkvnu1wjdr8.jpg
The Woman in the Library,Sulari Gentill,Mystery,"The ornate reading room at the Boston Public Library is quiet, until the tranquility is shattered by a woman's terrified scream. Security guards take charge immediately, instructing everyone inside to stay put until the threat is identified and contained. While they wait for the all-clear, four strangers, who'd happened to sit at the same table, pass the time in conversation and friendships are struck. Each has his or her own reasons for being in the reading room that morning?it just happens that one is a murderer.

Award-winning author Sulari Gentill delivers a sharply thrilling read with The Woman in the Library, an unexpectedly twisty literary adventure that examines the complicated nature of friendship and shows us that words can be the most treacherous weapons of all.",300,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631826249i/56803179.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669894/ebooks/rs0hkierwdmw34npy6jd.jpg
The Night Shift,Alex Finlay,Mystery,"It?s New Year?s Eve 1999. Y2K is expected to end in chaos: planes falling from the sky, elevators plunging to earth, world markets collapsing. A digital apocalypse. None of that happens. But at a Blockbuster Video in Linden, New Jersey, four teenage girls working the night shift are attacked. Only one survives. Police quickly identify a suspect who flees and is never seen again.

Fifteen years later, in the same town, four teenage employees working late at an ice cream store are attacked, and again only one makes it out alive.

Both surviving victims recall the killer speaking only a few final words... ?Goodnight, pretty girl.?

In the aftermath, three lives intersect: the survivor of the Blockbuster massacre who?s forced to relive her tragedy; the brother of the original suspect, who?s convinced the police have it wrong; and the FBI agent, who?s determined to solve both cases. On a collision course toward the truth, all three lives will forever be changed, and not everyone will make it out alive.

Twisty, poignant, and redemptive, The Night Shift is a story about the legacy of trauma and how the broken can come out on the other side, and it solidifies Alex Finlay as one of the new leading voices in the world of thrillers.",350,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639384101i/57693427.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669895/ebooks/ztlamuzq4ciyrpb8aqzq.jpg
The Secret Keeper,Kate Morton,Mystery,"During a summer party at the family farm in the English countryside, sixteen-year-old Laurel Nicolson has escaped to her childhood tree house and is happily dreaming of the future. She spies a stranger coming up the long road to the farm and watches as her mother speaks to him. Before the afternoon is over, Laurel will witness a shocking crime. A crime that challenges everything she knows about her family and especially her mother, Dorothy?her vivacious, loving, nearly perfect mother.

Now, fifty years later, Laurel is a successful and well-regarded actress living in London. The family is gathering at Greenacres farm for Dorothy?s ninetieth birthday. Realizing that this may be her last chance, Laurel searches for answers to the questions that still haunt her from that long-ago day, answers that can only be found in Dorothy?s past.

Dorothy?s story takes the reader from pre?WWII England through the blitz, to the ?60s and beyond. It is the secret history of three strangers from vastly different worlds?Dorothy, Vivien, and Jimmy?who meet by chance in wartime London and whose lives are forever entwined. The Secret Keeper explores longings and dreams and the unexpected consequences they sometimes bring. It is an unforgettable story of lovers and friends, deception and passion that is told?in Morton?s signature style?against a backdrop of events that changed the world.",200,45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1455089196i/13508607.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669897/ebooks/azqssvm2yujmbvbaq3ge.jpg
The Secrets We Share,Edwin Hill,Mystery,"A mesmerizing, twisty suspense novel perfect for fans of Mary Kubica and Riley Sager from an acclaimed author! Explore the deep bonds?and deadly secrets?between two very different sisters haunted by the crimes of their father murdered nearly twenty years earlier?

At first glance, Natalie Cavanaugh and Glenn Abbott hardly look like sisters. Even off-duty, Natalie dresses like a Boston cop, preferring practical clothes and unfussy, pinned-up hair. Her younger sister, Glenn, seems tailor-made for the spotlight, from her signature red mane to her camera-ready smile. Glenn has spent years cultivating her brand through her baking blog, and with the publication of her new book, that hard work seems about to pay off. But her fans have no idea about the nightmare in Glenn and Natalie?s past.

Twenty years ago, their father?s body was discovered in the woods behind their house. A trauma like that doesn?t fit with Glenn?s public image. Yet, maybe someone reading her blog does know something. There have been anonymous online messages, vague yet ominous, hinting that she?s being watched. And with unsettling coincidences hitting ever closer to home, both Glenn and Natalie soon have more pressing matters to worry about, especially when a dead body is found in an abandoned building . . .

Natalie is starting to wonder how much Glenn really knows about the people closest to her. But are there also secrets Natalie has yet to uncover about those she herself trusts? For two decades, she?s believed their father was murdered by their neighbor, with whom he was having an affair. But if those events are connected to what?s happening now, maybe there?s much more that Natalie doesn?t know. About their father. About their neighbors. About her friends. Maybe even about herself.

But there are no secrets between sisters . . . are there?",400,45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632079625i/58475481.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669898/ebooks/stnu449dtiajrdrfewp2.jpg
The Code Breaker,Walter Isaacson,Science,"When Jennifer Doudna was in sixth grade, she came home one day to find that her dad had left a paperback titled The Double Helix on her bed. As she sped through the pages, she became enthralled by the intense drama behind the competition to discover the code of life. Even though her high school counselor told her girls didn?t become scientists, she decided she would.

Driven by a passion to understand how nature works and to turn discoveries into inventions, she would help to make what the book?s author, James Watson, told her was the most important biological advance since his co-discovery of the structure of DNA. She and her collaborators turned ?a curiosity ?of nature into an invention that will transform the human race: an easy-to-use tool that can edit DNA. Known as CRISPR, it opened a brave new world of medical miracles and moral questions.

The development of CRISPR and the race to create vaccines for coronavirus will hasten our transition to the next great innovation revolution. The past half-century has been a digital age, based on the microchip, computer, and internet. Now we are entering a life-science revolution. Children who study digital coding will be joined by those who study genetic code.

Should we use our new evolution-hacking powers to make us less susceptible to viruses? What a wonderful boon that would be! And what about preventing depression? Hmmm?Should we allow parents, if they can afford it, to enhance the height or muscles or IQ of their kids?

After helping to discover CRISPR, Doudna became a leader in wrestling with these moral issues and, with her collaborator Emmanuelle Charpentier, won the Nobel Prize in 2020.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610894755i/54968118.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669899/ebooks/iw3yawwwiawjp8phhyvq.jpg
Unlocking the Universe,Stephen Hawking,Science,"Have you ever wondered how our universe began?Or what it takes to put humans on the moon?Do you know what happens in the microscopic world of a life-saving vaccine? What would you do if you could travel through space and time?Embark on the adventure of a lifetime in this beautiful collection of up-to-the-minute essays, mind-blowing facts and out-of-this-world colour photographs, by the world's leading scientists including Professor Stephen Hawking himself.This edition features brand-new content from Dr Mary Plagues, Pandemics and Planetary Health.This unmissable volume was curated by Stephen and Lucy Hawking, whose series of children's books George's Secret Key was a global hit.George's stories are punctuated with fascinating real-life facts and insights from leading scientists and now this incredible non-fiction has been collected into one bumper volume, with new content from key scientific figures and up-to-the-minute facts and figures for readers in 2021.READERS LOVE UNLOCKING THE""Despite its scientific content the essays are written in a very accessible style and the many topics investigated which range from the physical explanations of the universe to earth science to robotics and future predictions. Highly recommended for curious minds from around 10 years upwards"" - Sue Warren, Blogger""My 9 y.o. loves this book. We've previously discussed a lot of the concepts, but this seems to answer questions I hadn't thought of, but my son wanted to know""",250,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1605007633i/44657498.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669903/ebooks/dfjapui48pgothurzx2d.jpg
A Brief History of Timekeeping,Chad Orzel,Science,"Predating written language and marching on through human history, the desire for ever-better timekeeping has spurred technological innovation and sparked theories that radically reshaped our understanding of the universe and our place in it. Chad Orzel, a physicist and bestselling author, continues his tradition of demystifying thorny scientific concepts by using the clocks and calendars central to our everyday activities as a jumping-off point to explore the science underlying the ways we keep track of our time. Ancient solstice markers depend on the basic astrophysics of our solar system; mechanical clocks owe their development to Newtonian physics; and the ultra-precise atomic timekeeping that enables GPS hinges on the predictable oddities of quantum mechanics. Along the way, Orzel visits the delicate negotiations involved in Gregorian calendar reform, the intricate and entirely unique system employed by the Maya, and how the problem of synchronizing clocks at different locations ultimately required us to abandon the idea of time as an absolute and universal quantity. Sharp and engaging, A Brief History of Timekeeping is a story not just about the science of sundials, sandglasses, and mechanical clocks, but also the politics of calendars and time zones, the philosophy of measurement, and the nature of space and time itself.",400,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628364152i/58721072.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669907/ebooks/ed2gnvhf78ijxxts4klo.jpg
A Briefer History of Time,Leonard Mlodinow and Stephen Hawking,Science,"Stephen Hawking's worldwide bestseller, A Brief History of Time, has been a landmark volume in scientific writing. Its author's engaging voice is one reason, and the compelling subjects he addresses is another; the nature of space and time, the role of God in creation, the history and future of the universe. But it is also true that in the years since its publication, readers have repeatedly told Professor Hawking of their great difficulty in understanding some of the book's most important concepts.

This is the origin of and the reason for A Briefer History of Time: its author's wish to make its content more accessible to readers - as well as to bring it up-to-date with the latest scientific observations and findings.

Although this book is literally somewhat ""briefer"", it actually expands on the great subjects of the original. Purely technical concepts, such as the mathematics of chaotic boundary conditions, are gone. Conversely, subjects of wide interest that were difficult to follow because they were interspersed throughout the book have now been given entire chapters of their own, including relativity, curved space, and quantum theory.

This reorganization has allowed the authors to expand areas of special interest and recent progress, from the latest developments in string theory to exciting developments in the search for a complete unified theory of all the forces of physics. Like prior editions of the book - but even more so - A Briefer History of Time will guide nonscientists everywhere in the ongoing search for the tantalizing secrets at the heart of time and space.

Thirty-seven full-color illustrations enhance the text and make A Briefer History of Time an exhilarating addition in its own right to the literature of science.",300,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924782i/2094.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669908/ebooks/alhmjhshk3odpu94cs7e.jpg
Entangled Life,Merlin Sheldrake,Science,"There is a lifeform so strange and wondrous that it forces us to rethink how life works?

Neither plant nor animal, it is found throughout the earth, the air and our bodies. It can be microscopic, yet also accounts for the largest organisms ever recorded, living for millennia and weighing tens of thousands of tonnes. Its ability to digest rock enabled the first life on land, it can survive unprotected in space, and thrives amidst nuclear radiation.

In this captivating adventure, Merlin Sheldrake explores the spectacular and neglected world of fungi: endlessly surprising organisms that sustain nearly all living systems. They can solve problems without a brain, stretching traditional definitions of ?intelligence?, and can manipulate animal behaviour with devastating precision. In giving us bread, alcohol and life-saving medicines, fungi have shaped human history, and their psychedelic properties, which have influenced societies since antiquity, have recently been shown to alleviate a number of mental illnesses. The ability of fungi to digest plastic, explosives, pesticides and crude oil is being harnessed in break-through technologies, and the discovery that they connect plants in underground networks, the ?Wood Wide Web?, is transforming the way we understand ecosystems. Yet they live their lives largely out of sight, and over ninety percent of their species remain undocumented.

Entangled Life is a mind-altering journey into this hidden kingdom of life, and shows that fungi are key to understanding the planet on which we live, and the ways we think, feel and behave. The more we learn about fungi, the less makes sense without them.",300,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575341220l/52668915.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669909/ebooks/arkninnbsli4rznl8wew.jpg
The Next 500 Years,Christopher E. Mason,Science,"An argument that we have a moral duty to explore other planets and solar systems--because human life on Earth has an expiration date.

Inevitably, life on Earth will come to an end, whether by climate disaster, cataclysmic war, or the death of the sun in a few billion years. To avoid extinction, we will have to find a new home planet, perhaps even a new solar system, to inhabit. In this provocative and fascinating book, Christopher Mason argues that we have a moral duty to do just that. As the only species aware that life on Earth has an expiration date, we have a responsibility to act as the shepherd of life-forms--not only for our species but for all species on which we depend and for those still to come (by accidental or designed evolution). Mason argues that the same capacity for ingenuity that has enabled us to build rockets and land on other planets can be applied to redesigning biology so that we can sustainably inhabit those planets. And he lays out a 500-year plan for undertaking the massively ambitious project of reengineering human genetics for life on other worlds.

As they are today, our frail human bodies could never survive travel to another habitable planet. Mason describes the toll that long-term space travel took on astronaut Scott Kelly, who returned from a year on the International Space Station with changes to his blood, bones, and genes. Mason proposes a ten-phase, 500-year program that would engineer the genome so that humans can tolerate the extreme environments of outer space--with the ultimate goal of achieving human settlement of new solar systems. He lays out a roadmap of which solar systems to visit first, and merges biotechnology, philosophy, and genetics to offer an unparalleled vision of the universe to come.",350,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617998263i/57196561.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669910/ebooks/j036xqyddnpidbf8q9mw.jpg
Under a White Sky,Elizabeth Kolbert,Science,"The Pulitzer Prize?winning author of The Sixth Extinction returns to humanity?s transformative impact on the environment, now asking: After doing so much damage, can we change nature, this time to save it?

That man should have dominion ?over all the earth, and over every creeping thing that creepeth upon the earth? is a prophecy that has hardened into fact. So pervasive are human impacts on the planet that it?s said we live in a new geological epoch: the Anthropocene.

In Under a White Sky, Elizabeth Kolbert takes a hard look at the new world we are creating. She meets scientists who are trying to preserve the world?s rarest fish, which lives in a single, tiny pool in the middle of the Mojave. She visits a lava field in Iceland, where engineers are turning carbon emissions to stone; an aquarium in Australia, where researchers are trying to develop ?super coral? that can survive on a hotter globe; and a lab at Harvard, where physicists are contemplating shooting tiny diamonds into the stratosphere in order to reflect sunlight back to space and cool the earth.

One way to look at human civilization, says Kolbert, is as a ten-thousand-year exercise in defying nature. In The Sixth Extinction, she explored the ways in which our capacity for destruction has reshaped the natural world. Now she examines how the very sorts of interventions that have imperiled our planet are increasingly seen as the only hope for its salvation. By turns inspiring, terrifying, and darkly comic, Under a White Sky is an utterly original examination of the challenges we face.",250,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608039192i/54814834.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669911/ebooks/ebldkhowabkajrruxvhk.jpg
How to Make a Vaccine,John Rhodes,Science,"Distinguished expert in vaccine development John Rhodes tells the story of the first approved COVID-19 vaccines and offers an essential, up-to-the-minute primer on how scientists discover, test, and distribute vaccines.

As the COVID-19 pandemic has affected every corner of the world, changing our relationship to our communities, to our jobs, and to each other, the most pressing question has been?when will it end? Researchers around the globe are urgently trying to answer this question by racing to test and distribute a vaccine that could end the greatest public health threat of our time. In How to Make a Vaccine, an expert who has firsthand experience developing vaccines tells an optimistic story of how three hundred years of vaccine discovery and a century and a half of immunology research have come together at this powerful moment?and will lead to multiple COVID-19 vaccines.

Dr. John Rhodes draws on his experience as an immunologist, including working alongside a young Anthony Fauci, to unravel the mystery of how vaccines are designed, tested, and produced at scale for global deployment. Concise and accessible, this book describes in everyday language how the immune system evolved to combat infection, how viruses responded by evolving ways to evade our defenses, and how vaccines do their work. That history, and the pace of current research developments, make Rhodes hopeful that multiple vaccines will protect us. Today the complex workings of the immune system are well understood. The tools needed by biomedical scientists stand ready to be used, and more than 160 vaccine candidates have already been produced. But defeating COVID-19 won?t be the end of the Rhodes describes how discoveries today are also empowering scientists to combat future threats to global health, including a recent breakthrough in the development of genetic vaccines, which have never before been used in humans.

As the world prepares for a vaccine, Rhodes offers a current and informative look at the science and strategies that deliver solutions to the crisis.",350,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607881588i/55829022.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669914/ebooks/ob8tbs1lc0i0sprrveas.jpg
Until the End of Time,Brian Greene,Science,"From the world-renowned physicist and bestselling author of The Elegant Universe and The Fabric of the Cosmos, a captivating exploration of deep time and humanity's search for purpose

In both time and space, the cosmos is astoundingly vast, and yet is governed by simple, elegant, universal mathematical laws.

On this cosmic timeline, our human era is spectacular but fleeting. Someday, we know, we will all die. And, we know, so too will the universe itself.

Until the End of Time is Brian Greene's breathtaking new exploration of the cosmos and our quest to understand it. Greene takes us on a journey across time, from our most refined understanding of the universe's beginning, to the closest science can take us to the very end. He explores how life and mind emerged from the initial chaos, and how our minds, in coming to understand their own impermanence, seek in different ways to give meaning to experience: in story, myth, religion, creative expression, science, the quest for truth, and our longing for the timeless, or eternal. Through a series of nested stories that explain distinct but interwoven layers of reality-from the quantum mechanics to consciousness to black holes-Greene provides us with a clearer sense of how we came to be, a finer picture of where we are now, and a firmer understanding of where we are headed.

Yet all this understanding, which arose with the emergence of life, will dissolve with its conclusion. Which leaves us with one realization: during our brief moment in the sun, we are tasked with the charge of finding our own meaning.

Let us embark.",200,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582412454i/43685238.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669918/ebooks/jw8ddpiovyqsvtlbycxc.jpg
The Future of Geography,Tim Marshall,Science,"Spy satellites orbiting the moon. Space metals worth more than most countries? GDP. People on Mars within the next ten years.
This isn?t science fiction. It?s astropolitics.
Humans are heading up and out, and we?re taking our power struggles with us. Soon, what happens in space will shape human history as much the mountains, rivers and seas have on Earth. It?s no coincidence that Russia, China and the USA are leading the way. The next fifty years will change the face of global politics.
In this gripping book, bestselling author Tim Marshall lays bare the new geopolitical realities to show how we got here and where we?re going, covering the new space race; great-power rivalry; technology; economics; war; and what it means for all of us down here on Earth. Written with all the insight and wit that have made Marshall the UK?s most popular writer on geopolitics, this is the essential read on power, politics and the future of humanity.",250,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1666195524i/62675564.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669919/ebooks/vhxdr6csdmcw3r2tndt1.jpg
